№;Город;Площадь м2;Год;Этажей;Адрес;Ссылка;result;postal_code;city_district;street_type_full;street;house_fias_id;house_kladr_id;house_cadnum;house_type_full;house;block_type_full;block;geo_lat;geo_lon
1;Магнитогорск;1595.2;2006;10;ул. 50-летия Магнитки, 29 корпус 1;/chelyabinskaya-oblast/magnitogorsk/160355;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 29 к 1;455008;Орджоникидзевский;улица;50-летия Магнитки;35ccd00c-b104-40e7-9e51-bb3e9bd70d58;7400000900000030008;74:33:0311001:284;дом;29;корпус;1;53.3577015;58.9754144
2;Магнитогорск;15743.6;2006;9;ул. 50-летия Магнитки, 31;/chelyabinskaya-oblast/magnitogorsk/396513;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 31;455008;Орджоникидзевский;улица;50-летия Магнитки;f69f4cc6-5e8b-4a4d-8ade-9aa01714f0f6;7400000900000030006;74:33:0311002:61;дом;31;;;53.358437;58.9739283
3;Магнитогорск;10393.1;1988;9;ул. 50-летия Магнитки, 32;/chelyabinskaya-oblast/magnitogorsk/633123;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 32;455051;Орджоникидзевский;улица;50-летия Магнитки;b452e68f-99d9-43a4-88ef-7721c82e43f7;7400000900000030034;;дом;32;;;53.3596953;58.9761334
4;Магнитогорск;4587;2006;9;ул. 50-летия Магнитки, 33 корпус 1;/chelyabinskaya-oblast/magnitogorsk/396514;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 33 к 1;455008;Орджоникидзевский;улица;50-летия Магнитки;8bb93b23-7f10-43a3-b2bf-389ac039b580;7400000900000030010;;дом;33;корпус;1;53.3578484;58.972427
5;Магнитогорск;9187.62;2003;9;ул. 50-летия Магнитки, 33;/chelyabinskaya-oblast/magnitogorsk/536059;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 33;455008;Орджоникидзевский;улица;50-летия Магнитки;72af7653-8149-4e91-a640-f547aabd7503;7400000900000030009;;дом;33;;;53.3579553;58.9724857
6;Магнитогорск;5763.8;1989;9;ул. 50-летия Магнитки, 34;/chelyabinskaya-oblast/magnitogorsk/633124;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 34;455051;Орджоникидзевский;улица;50-летия Магнитки;d401432f-d67a-48d8-938d-cddad05779c9;7400000900000030035;;дом;34;;;53.3600244;58.9746561
7;Магнитогорск;11774.4;2019;17;ул. 50-летия Магнитки, 35 корпус 1;/chelyabinskaya-oblast/magnitogorsk/1136480;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 35 к 1;455008;Орджоникидзевский;улица;50-летия Магнитки;7aae6508-8751-4602-b692-f0f3276d22f9;7400000900000030160;74:33:0311002:2472;дом;35;корпус;1;53.358513;58.971272
8;Магнитогорск;12487.8;2015;10;ул. 50-летия Магнитки, 35;/chelyabinskaya-oblast/magnitogorsk/790098;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 35;455008;Орджоникидзевский;улица;50-летия Магнитки;a3ac8ae2-ba4b-4d16-9f52-7f809fbc4aef;7400000900000030119;;дом;35;;;53.358513;58.971272
9;Магнитогорск;3985.5;1988;9;ул. 50-летия Магнитки, 36;/chelyabinskaya-oblast/magnitogorsk/256896;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 36;455051;Орджоникидзевский;улица;50-летия Магнитки;005a290f-09fa-49e4-92d0-35df1ece82f6;7400000900000030036;;дом;36;;;53.359953;58.9737909
10;Магнитогорск;5731.5;1997;16;ул. 50-летия Магнитки, 37;/chelyabinskaya-oblast/magnitogorsk/396515;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 37;455034;Орджоникидзевский;улица;50-летия Магнитки;cb142641-1853-4182-a21e-b41197f69c51;7400000900000030011;74:33:0311001:10214;дом;37;;;53.3578907;58.9694105
11;Магнитогорск;5790.8;1988;9;ул. 50-летия Магнитки, 38;/chelyabinskaya-oblast/magnitogorsk/633125;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 38;455051;Орджоникидзевский;улица;50-летия Магнитки;1979657d-73aa-49ec-9b16-60a3be3d2a39;7400000900000030037;;дом;38;;;53.360103;58.9728844
12;Магнитогорск;5705.8;1994;16;ул. 50-летия Магнитки, 39;/chelyabinskaya-oblast/magnitogorsk/396516;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 39;455034;Орджоникидзевский;улица;50-летия Магнитки;ca91fe33-3b8f-4ede-9b79-79bfa7676a3e;7400000900000030013;;дом;39;;;53.3578113;58.9681267
