Год ввода в эксплуатацию;Дом признан аварийным;Состояние дома;Количество квартир;Количество балконов;Класс энергетической эффективности;Количество подъездов;Количество лифтов;Наибольшее количество этажей;Наименьшее количество этажей;Подземных этажей;house_id;Количество нежилых помещений;Дата проведения энергетического обследования;Формирование фонда кап. ремонта;Площадь парковки м2;Наличие в подъездах приспособлений для нужд маломобильных групп населения;Тип дома;Количество лоджий;Износ здания, %;Дата, на которую установлен износ здания;Основание признания дома аварийным;Площадь многоквартирного дома, кв.м;Дата документа о признании дома аварийным
2006;Нет;Исправный;228;228;A;5;5;10;10;1;160355;;;;;;;;;;;;
2006;Нет;Исправный;148;148;А (Очень высокий);5;5;9;1;1;396513;6;15.06.2016;На счете регионального оператора;;;;;;;;;
1988;Нет;Исправный;152;151;Не присвоен;5;5;9;1;;633123;1;;;;;;;;;;;
2006;Нет;Исправный;71;71;А (Очень высокий);2;2;9;9;;396514;1;15.06.2016;;;;;;;;;;
2003;Нет;Исправный;144;;;4;4;9;9;1;536059;;;На специальном счете организации;0;;;;;;;;
1989;Нет;Исправный;107;108;В+ (Высокий);3;3;9;1;1;633124;;;На счете регионального оператора;;;;;;;;;
2019;Нет;Исправный;98;;;1;2;;;1;1136480;2;;;;Нет;Многоквартирный дом;;;;;;
2015;Нет;Исправный;176;;Не присвоен;3;3;10;10;1;790098;2;;На счете регионального оператора;;;;164;;;;;
1988;Нет;Исправный;72;;;2;2;9;;1;256896;;;;;Нет;Многоквартирный дом;;;;;;
1997;Нет;Исправный;95;;B;1;2;16;16;;396515;1;15.06.2016;;;;;95;;;;;
1988;Нет;Исправный;108;54;Не присвоен;3;3;9;1;1;633125;1;;;;;;54;;;;;
1994;Нет;Исправный;96;;А (Очень высокий);1;2;16;16;1;396516;;15.06.2016;На специальном счете у регионального оператора;;;;96;;;;;
1988;Нет;Исправный;144;;Не присвоен;4;4;;;1;893452;;;;;Нет;Многоквартирный дом;;;;;;
1986;Нет;Исправный;201;189;Не присвоен;6;6;9;1;;633126;13;;;;;;;;;;;
1994;Нет;Исправный;95;;Не присвоен;1;2;16;16;;160370;1;;;;;;95;;;;;
1985;Нет;Исправный;148;148;А (Очень высокий);5;5;9;9;;396517;7;15.06.2016;;;;;;;;;;
1989;Нет;Исправный;108;108;А (Очень высокий);3;3;9;9;;396518;1;15.06.2016;;;;;;;;;;
1999;Нет;Исправный;162;79;Не присвоен;5;5;10;10;;159250;6;;;;;;88;;;;;
1987;Нет;Исправный;72;72;А (Очень высокий);2;2;9;9;;396519;;15.06.2016;;;;;;;;;;
1995;Нет;Исправный;69;60;Не присвоен;4;;6;6;;160372;1;;На специальном счете организации;0;;;;;;;;
1993;Нет;Исправный;170;89;Не присвоен;5;5;9;9;;160371;5;;На счете регионального оператора;;;;81;;;;;
1993;Нет;Исправный;81;81;А (Очень высокий);3;3;9;9;1;396521;;08.08.2016;На специальном счете у регионального оператора;;;;;;;;;
1987;Нет;Исправный;108;108;B;3;3;9;9;1;396520;1;15.06.2016;;;;;;;;;;
1983;Нет;Исправный;149;165;А (Очень высокий);5;5;9;9;;633128;3;;;;;;;;;;;
1991;Нет;Исправный;72;;А (Очень высокий);2;2;9;9;1;252486;;;На счете регионального оператора;0;;;;;;;;
