post_index;post_address;post_coordinates;post_lat;post_lon
101000;г Москва , Мясницкая ул, 26;[55.763874, 37.637253];55.763874;37.637253
103132;г Москва , Старая пл, 2/14, стр.1;[55.75586, 37.629196];55.75586;37.629196
103265;г Москва , Охотный Ряд ул, 1;[55.757416, 37.61613];55.757416;37.61613
103274;г Москва , Краснопресненская наб, 2, стр.1;[55.755093, 37.572784];55.755093;37.572784
103426;г Москва , Дмитровка Б. ул, 26;[55.76444, 37.612213];55.76444;37.612213
105005;г Москва , Бауманская ул, 38, стр.2;[55.77121, 37.677643];55.77121;37.677643
105037;г Москва , Измайловская пл, 11;[55.794323, 37.77484];55.794323;37.77484
105043;г Москва , Парковая 6-Я ул, 13;[55.790844, 37.790054];55.790844;37.790054
105062;г Москва , Мясницкая ул, 26;[55.763874, 37.637253];55.763874;37.637253
105064;г Москва , Земляной Вал ул, 2;[55.76332, 37.656143];55.76332;37.656143
105066;г Москва , Красносельская Нижн. ул, 43;[55.786964, 37.654915];55.786964;37.654915
105077;г Москва , Парковая 6-Я ул, 20/53;[55.793503, 37.791245];55.793503;37.791245
105082;г Москва , Бакунинская ул, 26/30, стр.1;[55.77479, 37.68495];55.77479;37.68495
105094;г Москва , Госпитальный Вал ул, 5, к.18;[55.774746, 37.70601];55.774746;37.70601
105118;г Москва , Будённого пр-кт, 30/8;[55.762, 37.73476];55.762;37.73476
105120;г Москва , Сергия Радонежского ул, 4;[55.74627, 37.672977];55.74627;37.672977
105122;г Москва , Щёлковское ш, 10;[55.80429, 37.76223];55.80429;37.76223
105173;г Москва , 9 Мая ул, 7;[55.607216, 37.22117];55.607216;37.22117
105175;г Москва , Козловский Б. пер, 8, стр.11;[55.76656, 37.6472];55.76656;37.6472
105187;г Москва , Щербаковская ул, 58А;[55.782124, 37.742287];55.782124;37.742287
105203;г Москва , Парковая 14-Я ул, 4;[55.792976, 37.785805];55.792976;37.785805
105215;г Москва , Щёлковское ш, 48А;[55.809696, 37.793953];55.809696;37.793953
105264;г Москва , Парковая 7-Я ул, 21;[55.800243, 37.79337];55.800243;37.79337
