;type;lon;lat;region;region2;name;population
0;node;33.3679049;45.1907635;Автономна Республіка Крим;n/d;Евпатория;105719.0
1;node;34.1024858;44.9521457;Автономна Республіка Крим;n/d;Симферополь;341799.0
2;node;34.4095393;44.677112;Автономна Республіка Крим;n/d;Алушта;28919.0
3;node;34.3899131;45.7093755;Автономна Республіка Крим;n/d;Джанкой;36665.0
4;node;33.0357639;45.3080619;Автономна Республіка Крим;n/d;Мирный;4210.0
5;node;33.8534782;44.7522963;Автономна Республіка Крим;n/d;Бахчисарай;26215.0
6;node;35.2381272;44.9633478;Автономна Республіка Крим;n/d;Коктебель;2844.0
7;node;35.8222792;45.4291446;Автономна Республіка Крим;n/d;Щёлкино;11231.0
8;node;35.7758985;45.297284;Автономна Республіка Крим;n/d;Ленино;7936.0
9;node;36.2919984;45.3761402;Автономна Республіка Крим;n/d;Багерово;3962.0
10;node;34.971099;44.8488369;Автономна Республіка Крим;n/d;Судак;15300.0
11;node;33.6904091;46.113261;Автономна Республіка Крим;n/d;Армянск;22530.0
12;node;33.7979467;45.9565346;Автономна Республіка Крим;n/d;Красноперекопск;30033.0
13;node;33.489566;45.7683327;Автономна Республіка Крим;n/d;Раздольное;7300.0
14;node;33.864073;45.7124068;Автономна Республіка Крим;n/d;Первомайское;9019.0
15;node;34.5655905;45.586971;Автономна Республіка Крим;n/d;Азовское;3811.0
16;node;34.30172;45.56476;Автономна Республіка Крим;n/d;Вольное;2036.0
17;node;32.707775;45.508597;Автономна Республіка Крим;n/d;Черноморское;10991.0
18;node;34.2950929;45.4959593;Автономна Республіка Крим;n/d;Красногвардейское;10742.0
19;node;34.7384352;45.4430256;Автономна Республіка Крим;n/d;Нижнегорский;9564.0
20;node;33.5965762;45.4400925;Автономна Республіка Крим;n/d;Новосёловское;3362.0
21;node;34.9235341;45.3458907;Автономна Республіка Крим;n/d;Советский;9947.0
22;node;34.128563;45.2931604;Автономна Республіка Крим;n/d;Октябрьское;11489.0
23;node;35.201075;45.2306487;Автономна Республіка Крим;n/d;Кировское;7024.0
24;node;33.6001281;45.1319466;Автономна Республіка Крим;n/d;Саки;24156.0
25;node;35.4815631;45.1191428;Автономна Республіка Крим;n/d;Приморский;14860.0
26;node;33.5752494;45.0943138;Автономна Республіка Крим;n/d;Новофёдоровка;6493.0
27;node;34.594959;45.0584385;Автономна Республіка Крим;n/d;Белогорск;18208.0
28;node;34.3226704;45.0547297;Автономна Республіка Крим;n/d;Зуя;7027.0
29;node;35.0881549;45.0293926;Автономна Республіка Крим;n/d;Старый Крым;9446.0
30;node;34.001051;45.0195507;Автономна Республіка Крим;n/d;Аэрофлотский;2254.0
31;node;34.0487769;45.0160039;Автономна Республіка Крим;n/d;Аграрное;5938.0
32;node;34.0214674;45.0198964;Автономна Республіка Крим;n/d;Комсомольское;4787.0
33;node;34.0264874;45.0101779;Автономна Республіка Крим;n/d;Грэсовский;11139.0
34;node;34.05659;45.00927;Автономна Республіка Крим;n/d;Молодёжное;7151.0
35;node;35.3580294;44.9640797;Автономна Республіка Крим;n/d;Орджоникидзе;2669.0
36;node;35.1568474;44.9382816;Автономна Республіка Крим;n/d;Щебетовка;3434.0
37;node;35.1882694;44.9143409;Автономна Республіка Крим;n/d;Курортное;326.0
38;node;33.9622556;44.8347618;Автономна Республіка Крим;n/d;Почтовое;3147.0
39;node;34.9127351;44.8291568;Автономна Республіка Крим;n/d;Новый Свет;1095.0
40;node;33.8645453;44.6313455;Автономна Республіка Крим;n/d;Куйбышево;2368.0
41;node;34.34292;44.58183;Автономна Республіка Крим;n/d;Партенит;6061.0
42;node;34.2887068;44.5633144;Автономна Республіка Крим;n/d;Краснокаменка;1024.0
43;node;34.2736976;44.5479215;Автономна Республіка Крим;n/d;Гурзуф;9068.0
44;node;34.1885438;44.5310633;Автономна Республіка Крим;n/d;Советское;579.0
45;node;34.2379522;44.5158616;Автономна Республіка Крим;n/d;Никита;2454.0
46;node;34.2149528;44.5056381;Автономна Республіка Крим;n/d;Отрадное;659.0
47;node;34.2195259;44.5131431;Автономна Республіка Крим;n/d;Восход;448.0
48;node;34.1886781;44.5087776;Автономна Республіка Крим;n/d;Массандра;8413.0
49;node;34.14173;44.47677;Автономна Республіка Крим;n/d;Виноградное;1357.0
50;node;34.14104;44.46648;Автономна Республіка Крим;n/d;Ливадия;1601.0
51;node;34.13692;44.4603;Автономна Республіка Крим;n/d;Ореанда;893.0
52;node;34.132819;44.4427352;Автономна Республіка Крим;n/d;Курпаты;411.0
53;node;34.0919813;44.4341131;Автономна Республіка Крим;n/d;Кореиз;6294.0
54;node;34.1027932;44.4356415;Автономна Республіка Крим;n/d;Гаспра;11313.0
55;node;33.9871072;44.407001;Автономна Республіка Крим;n/d;Голубой Залив;441.0
56;node;34.0050679;44.4059623;Автономна Республіка Крим;n/d;Симеиз;3950.0
57;node;33.8962227;44.404849;Автономна Республіка Крим;n/d;Береговое;497.0
58;node;33.9117275;44.4056727;Автономна Республіка Крим;n/d;Парковое;495.0
59;node;33.8224464;44.4023267;Автономна Республіка Крим;n/d;Санаторное;494.0
60;node;33.9724039;44.3972312;Автономна Республіка Крим;n/d;Кацивели;609.0
61;node;33.9523786;44.3959988;Автономна Республіка Крим;n/d;Понизовка;382.0
62;node;33.7872282;44.3915373;Автономна Республіка Крим;n/d;Форос;1978.0
63;node;33.1170303;45.3837166;Автономна Республіка Крим;n/d;Новоозёрное;7242.0
64;node;33.274385;45.1552262;Автономна Республіка Крим;n/d;Заозёрное;4940.0
65;node;35.3753628;45.033669;Автономна Республіка Крим;n/d;Феодосия;70043.0
66;node;36.4538645;45.3534002;Автономна Республіка Крим;Республика Крым;Керчь;148932.0
67;node;34.1586871;44.4970713;Автономна Республіка Крим;n/d;Ялта;77003.0
