number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
1,Трамвай,Остановка,Авангардная ул.,Авангардная ул.,"Авангардная, Ветеранов",52,"59.833222,30.182669"
2,Трамвай,Остановка,Авангардная ул.,Авангардная ул.,"Ветеранов пр., Авангардная ул.",52,"59.833108,30.182092"
3,Трамвай,Остановка,Авиационная ул.,Авиационная ул.,"Ленсовета ул., Авиационная ул.",29,"59.854840,30.329810"
4,Трамвай,Остановка,Авиационная ул.,Авиационная ул.,"Авиационная, Юрия Гагарина",45,"59.855422,30.336086"
5,Трамвай,Остановка,Авиационная ул.,Авиационная ул.,"Авиационная ул., Демонстрационный проезд",29.45,"59.854890,30.323020"
6,Трамвай,Остановка,Администрация Московского района,Администрация Московского района,"Московский пр., Рощинская ул.",29.43,"59.884570,30.319940"
7,Трамвай,Остановка,Администрация Московского района,Администрация Московского района,"Московский, Рощинская",29.43,"59.884372,30.319750"
8,Трамвай,Остановка,Администрация Невского района,Администрация Невского района,"проспект Обуховской Обороны, переулок Матюшенко","24,27,39","59.878470,30.449380"
9,Трамвай,Остановка,Администрация Невского района,Администрация Невского района,"Обуховской обороны пр., Володарский мост","24,27,39","59.878030,30.449680"
10,Трамвай,Остановка,Администрация Приморского района,Администрация Приморского района,"Савушкина ул., Липовая аллея",19,"59.985127,30.254173"
11,Трамвай,Остановка,Администрация Приморского района,Администрация Приморского района,"Липовая аллея, Дибуновская ул.",19,"59.985495,30.254026"
12,Трамвай,Остановка,Аллея Славы,Аллея Славы,"Петергофское ш., Доблести ул.",36.6,"59.846350,30.178810"
13,Трамвай,Остановка,Аллея Славы,Аллея Славы,"Петергофское шоссе, ул. Доблести",36.6,"59.846540,30.179280"
14,Трамвай,Остановка,Алтайская ул.,Алтайская ул.,"улица Ленсовета, Алтайская улица",29,"59.849200,30.330130"
15,Трамвай,Остановка,Алтайская ул.,Алтайская ул.,"улица Ленсовета, Алтайская улица",29,"59.849740,30.329870"
16,Трамвай,Остановка,Апраксин Двор,Апраксин Двор,"Садовая улица, Мариинский проезд",3,"59.931240,30.328560"
17,Трамвай,Остановка,Апраксин Двор,Апраксин Двор,"Садовая улица, Александровская линия",3,"59.930320,30.326070"
18,Трамвай,Остановка,Арсенальная ул.,Арсенальная ул.,"Кондратьевский, Арсенальная",23,"59.957178,30.372908"
19,Трамвай,Остановка,Арсенальная ул.,Арсенальная ул.,"Комсомола, Арсенальная",23,"59.955986,30.372539"
20,Трамвай,Остановка,Б. Монетная ул.,Б. Монетная ул.,"Льва Толстого, Монетная Б.",40,"59.963667,30.327103"
21,Трамвай,Остановка,Б. Монетная ул.,Б. Монетная ул.,"ул. Котовского, Большая Монетная улица",40,"59.963215,30.328455"
22,Трамвай,Остановка,Б. Подьяческая ул.,Б. Подьяческая ул.,"Садовая улица, Большая Подьяческая улица",3,"59.922270,30.305900"
23,Трамвай,Остановка,Б. Пороховская ул.,Б. Пороховская ул.,"Среднеохтинский, Пороховская Б.",10.23,"59.952856,30.415042"
24,Трамвай,Остановка,Б. Пороховская ул.,Б. Пороховская ул.,"Среднеохтинский, Пороховская Б.",23,"59.954300,30.415083"
25,Трамвай,Остановка,"Б. Пороховская ул., 21","Б. Пороховская ул., 21","Большая Пороховская ул., Среднеохтинский пр.",10,"59.953410,30.416330"
26,Трамвай,Остановка,"Б. Пороховская ул., 46","Б. Пороховская ул., 46","Большая Пороховская ул., Дегтярева ул.",10,"59.953170,30.430230"
27,Трамвай,Остановка,"Б. Пороховская ул., 46","Б. Пороховская ул., 46","Большая Пороховская ул., Дегтярева ул.",10,"59.953247,30.430969"
28,Трамвай,Остановка,Б. Сампсониевский пр.,Б. Сампсониевский пр.,"Боткинская ул., Большой Сампсониевский проспект",3.6,"59.959260,30.346700"
29,Трамвай,Остановка,Б. Сампсониевский пр.,Б. Сампсониевский пр.,"Сердобольская улица, Большой Сампсониевский проспект",21.4,"59.994670,30.330410"
30,Трамвай,Остановка,Б. Сампсониевский пр.,Б. Сампсониевский пр.,"Гренадерская ул., Большой Сампсониевский пр.",61,"59.969221,30.342506"
31,Трамвай,Остановка,Б. Сампсониевский пр.,Б. Сампсониевский пр.,"Боткинская, Сампсониевский Б.",3.6,"59.959108,30.347083"
32,Трамвай,Остановка,Б. Сампсониевский пр.,Б. Сампсониевский пр.,"1-й Муринский проспект, Большой Сампсониевский пр.",20.48,"59.988500,30.334595"
33,Трамвай,Остановка,Байконурская ул.,Байконурская ул.,"Испытателей пр., Байконурская ул.",47.55,"60.005970,30.275820"
34,Трамвай,Остановка,Байконурская ул.,Байконурская ул.,"Испытателей, Байконурская",47.55,"60.005731,30.276686"
35,Трамвай,Остановка,Баррикадная ул.,Баррикадная ул.,"Трефолева ул., Баррикадная ул.",36,"59.891870,30.261760"
36,Трамвай,Остановка,Баррикадная ул.,Баррикадная ул.,"Трефолева, Баррикадная",36,"59.891992,30.262419"
37,Трамвай,Остановка,"Бассейн ""Атлантика""","Бассейн ""Атлантика""","проспект Обуховской Обороны, Шлиссельбургский проспект",24.27,"59.843200,30.484100"
38,Трамвай,Остановка,"Бассейн ""Атлантика""","Бассейн ""Атлантика""","проспект Обуховской Обороны, Шлиссельбургский проспект",24.27,"59.843360,30.484310"
39,Трамвай,Остановка,Благодатная ул.,Благодатная ул.,"Московский проспект, Благодатная улица",29.43,"59.876210,30.319890"
40,Трамвай,Остановка,Благодатная ул. Университет МЧС,Благодатная ул. Университет МЧС,"Московский пр., Благодатная ул.",29.45,"59.875530,30.320180"
41,Трамвай,Остановка,Богатырский пр.,Богатырский пр.,"Стародеревенская ул., Богатырский пр.",18,"60.002830,30.245460"
42,Трамвай,Остановка,Богатырский пр.,Богатырский пр.,"Стародеревенская улица, Богатырский проспект",18,"60.002180,30.245330"
43,Трамвай,Остановка,Бокситогорская ул.,Бокситогорская ул.,"Ириновский пр., Бокситогорская ул.",10,"59.952920,30.449210"
44,Трамвай,Остановка,Бокситогорская ул.,Бокситогорская ул.,"Ириновский проспект, ул. Бокситогорская",10,"59.953030,30.448530"
45,Трамвай,Остановка,Болотная ул.,Болотная ул.,"Муринский 2-й, Болотная",40.55,"59.999825,30.353342"
46,Трамвай,Остановка,Болотная ул.,Болотная ул.,"Муринский 2-й, Болотная",40.55,"59.999856,30.352667"
47,Трамвай,Остановка,Большой проспект П.С.,Большой проспект П.С.,"набережная реки Карповки, Большой проспект П.С.",40,"59.967800,30.313580"
48,Трамвай,Остановка,Большой проспект П.С.,Большой проспект П.С.,"набережная реки Карповки, Большой проспект П.С.",40,"59.967770,30.314360"
49,Трамвай,Остановка,Боткинская ул.,Боткинская ул.,"улица Академика Лебедева, Боткинская улица",20,"59.958720,30.353210"
50,Трамвай,Остановка,"Боткинская ул. (оборотная, посадки/высадки нет)","Боткинская ул. (оборотная, посадки/высадки нет)","Боткинская ул., ул. Академика Лебедева",23,"59.958030,30.353290"
51,Трамвай,Остановка,Будапештская ул.,Будапештская ул.,"Димитрова ул., Будапештская ул.",25.43,"59.848140,30.386410"
52,Трамвай,Остановка,Будапештская ул.,Будапештская ул.,"Димитрова, Будапештская",25.43,"59.848486,30.387294"
53,Трамвай,Остановка,Будапештская ул.,Будапештская ул.,"ул. Ярослава Гашека, ул. Будапештская",45.62,"59.835290,30.400560"
54,Трамвай,Остановка,Будапештская ул.,Будапештская ул.,"Ярослава Гашека ул., Будапештская ул.",45.62,"59.834950,30.399760"
55,Трамвай,Остановка,Бухарестская ул.,Бухарестская ул.,"Димитрова ул., Бухарестская ул.",25.43,"59.851420,30.399190"
56,Трамвай,Остановка,"Бухарестская ул., 118","Бухарестская ул., 118",Бухарестская ул.,45.49,"59.846680,30.404850"
57,Трамвай,Остановка,"Бухарестская ул., 118","Бухарестская ул., 118",ул. Бухарестская,45.49,"59.846320,30.405500"
58,Трамвай,Остановка,"Бухарестская улица, 1","Бухарестская улица, 1","Бухарестская, Стрельбищенская",25.49,"59.890722,30.360156"
59,Трамвай,Остановка,"Бухарестская улица, 6","Бухарестская улица, 6","ул. Бухарестская, ул. Стрельбищенская",25.49,"59.890620,30.360470"
60,Трамвай,Остановка,Введенская ул.,Введенская ул.,"Кронверкский проспект, Александровский парк",6.4,"59.955060,30.308010"
61,Трамвай,Остановка,Введенская ул.,Введенская ул.,"Кронверкский, Введенская",6.4,"59.954781,30.307792"
62,Трамвай,Остановка,"Вещевой рынок ""Гражданский""","Вещевой рынок ""Гражданский""","ул. Руставели, Северный проспект","51,57,100","60.017710,30.432920"
63,Трамвай,Остановка,"Вещевой рынок ""Гражданский""","Вещевой рынок ""Гражданский""","Руставели ул., Северный пр.","51,57,100","60.017700,30.433150"
