mall_name;mall_address;mall_coordinates;mall_lat;mall_lon
Columbus;ул. Красного Маяка, 2Б, Москва;[55.611088, 37.60684];55.611088;37.60684
Crocus City Mall;66-й км МКАД, Красногорск, Московская обл.;[55.76421, 37.84499];55.76421;37.84499
FORT;Новоясеневский просп., 11, Москва;[55.606438, 37.53098];55.606438;37.53098
XL;Дмитровское ш., 89, Москва;[55.86367, 37.545452];55.86367;37.545452
XL-2;Коммунистическая ул., 10, корп. 1, Мытищи, Московская обл.;[55.891644, 37.745007];55.891644;37.745007
Авентура;мкрн. Северное Чертаново, 1а, Москва;[55.633076, 37.605236];55.633076;37.605236
Азовский;Азовская ул., 24, корп. 3, Москва;[55.64763, 37.595478];55.64763;37.595478
Аркадия;Большой Овчинниковский пер.‚ 16, Москва;[55.744568, 37.63015];55.744568;37.63015
Атриум;ул. Земляной Вал, 33, Москва;[55.757168, 37.658993];55.757168;37.658993
Афимолл Сити;Пресненская наб., 2, Москва;[55.746735, 37.54092];55.746735;37.54092
Барвиха Luxury Village;8-й км Рублево-Успенского ш., 114, Барвиха, Московская обл.;[54.969994, 82.888435];54.969994;82.888435
БУМ;ул. Перерва, 43, корп. 1, Москва;[55.659355, 37.74888];55.659355;37.74888
Варшавский;Варшавское ш., 87Б, Москва;[55.65383, 37.620705];55.65383;37.620705
Вегас;24-й км МКАД, Москва;[55.592396, 37.73118];55.592396;37.73118
ВиВа!;ул. Поляны, 8, Москва;[55.56542, 37.556145];55.56542;37.556145
Времена года;Кутузовский просп., 48, Москва;[55.731766, 37.487404];55.731766;37.487404
Вэйпарк;71-й км МКАД, Москва;[55.859055, 37.397877];55.859055;37.397877
Гагаринский;ул. Вавилова, 3, Москва;[55.70697, 37.59195];55.70697;37.59195
Галерея Аэропорт;Ленинградский просп., 62а, Москва;[55.80172, 37.53177];55.80172;37.53177
Глобал Сити;Кировоградская ул., 14, Москва;[55.622612, 37.605995];55.622612;37.605995
Город 1;ш. Энтузиастов, 12, корп. 2, Москва;[55.74745, 37.707115];55.74745;37.707115
Город 2;Рязанский просп., 2, к. 2, Москва;[55.72969, 37.73105];55.72969;37.73105
ГУМ;Красная пл., 3, Москва;[55.754753, 37.621502];55.754753;37.621502
Домодедовский;Ореховый бул., 14, корп. 3, Москва;[55.609737, 37.72014];55.609737;37.72014
Дружба;Новослободская ул., 4, Москва;[55.779976, 37.60116];55.779976;37.60116
ЕвроПарк;Рублёвское ш., 62, Москва;[55.766815, 37.38101];55.766815;37.38101
Европейский;пл. Киевского Вокзала, 2, Москва;[55.74446, 37.56606];55.74446;37.56606
Европолис;просп. Мира, 211, Москва;[55.843998, 37.66265];55.843998;37.66265
Елоховский пассаж;Бауманская ул., 32, стр. 2, Москва;[55.772137, 37.678234];55.772137;37.678234
Ереван Плаза;Большая Тульская ул., 13, Москва;[55.708664, 37.622074];55.708664;37.622074
Звёздочка 1;ул. Покрышкина, 4, Москва;[55.665108, 37.48149];55.665108;37.48149
Звёздочка 2;Таганская ул., 1, Москва;[55.741585, 37.65659];55.741585;37.65659
Золотой Вавилон;ул. Декабристов, 12, Москва;[55.86315, 37.602055];55.86315;37.602055
Калейдоскоп;Сходненская ул., 56, Москва;[55.850574, 37.444336];55.850574;37.444336
Калужский;Профсоюзная ул., 61а, Москва;[55.655704, 37.54305];55.655704;37.54305
Капитолий 1;просп. Вернадского, 6, Москва;[55.691982, 37.528053];55.691982;37.528053
Капитолий 2;Шереметьевская ул., 20, Москва;[55.803387, 37.618786];55.803387;37.618786
Капитолий 3;Правобережная ул., 1Б, Москва;[55.88097, 37.44973];55.88097;37.44973
